id,date,ticker,company_name,region,open,high,low,close,adj_close,volume,conflict_period,period_phase
1,2019-01-02,SHEL,SHEL,International,42.57862516646837,43.86989065852385,42.46826234569575,43.66019821166992,,3918326,US-Iran,Before
2,2019-01-03,SHEL,SHEL,International,43.70434532911988,43.82574415214583,43.27024482826887,43.56454849243164,,3523203,US-Iran,Before
3,2019-01-04,SHEL,SHEL,International,44.145802960394114,44.627064693259314,44.04279653589419,44.55047225952149,,4106479,US-Iran,Before
4,2019-01-07,SHEL,SHEL,International,44.15316151268705,44.74177449290489,43.95450785958543,44.609336853027344,,3678599,US-Iran,Before
5,2019-01-08,SHEL,SHEL,International,44.565192480034504,44.61669569761916,44.19731075059277,44.33710479736328,,3134058,US-Iran,Before
6,2019-01-09,SHEL,SHEL,International,44.61668685425384,44.941600521583865,44.51368043950119,44.85213088989258,,3170379,US-Iran,Before
7,2019-01-10,SHEL,SHEL,International,44.579903918861696,45.16115767065786,44.46953828765978,45.05815124511719,,2014108,US-Iran,Before
8,2019-01-11,SHEL,SHEL,International,44.572556367645824,44.79328486715005,44.35918426854851,44.54312515258789,,3121436,US-Iran,Before
9,2019-01-14,SHEL,SHEL,International,44.23409953630103,44.723382923057166,44.20467113026786,44.447471618652344,,2487514,US-Iran,Before
10,2019-01-15,SHEL,SHEL,International,44.51368113877746,44.83741599118777,44.24880589284432,44.45481872558594,,1976413,US-Iran,Before
11,2019-01-16,SHEL,SHEL,International,44.14581281839981,44.29296608913752,43.99865954766211,44.16788482666016,,2873593,US-Iran,Before
12,2019-01-17,SHEL,SHEL,International,43.76321281983018,44.35918226765302,43.7264252060247,44.27824783325195,,1965974,US-Iran,Before
13,2019-01-18,SHEL,SHEL,International,44.88157935338664,45.102307870830714,44.74178528057232,44.933082580566406,,2808558,US-Iran,Before
14,2019-01-22,SHEL,SHEL,International,44.07222658780598,44.252487825948535,43.71170130480638,43.8662109375,,3942260,US-Iran,Before
15,2019-01-23,SHEL,SHEL,International,43.67492041975606,43.7484956447296,43.101025806160706,43.34382629394531,,3959411,US-Iran,Before
16,2019-01-24,SHEL,SHEL,International,43.262889040709055,43.72642078661117,43.167239009110105,43.29232025146485,,2734366,US-Iran,Before
17,2019-01-25,SHEL,SHEL,International,43.7264219861705,43.74113759195209,43.50569351287624,43.53512191772461,,2296778,US-Iran,Before
18,2019-01-28,SHEL,SHEL,International,42.92443240253182,43.174592044774506,42.76256357322352,43.12308883666992,,2491139,US-Iran,Before
19,2019-01-29,SHEL,SHEL,International,43.32175146222064,43.60869875030274,43.15988260977853,43.29232025146485,,2878607,US-Iran,Before
20,2019-01-30,SHEL,SHEL,International,43.998652727581224,44.00601193367074,43.603989338919504,43.82207107543945,,3088062,US-Iran,Before
21,2019-01-31,SHEL,SHEL,International,45.56582388368156,45.86748674089869,45.31566423574192,45.418670654296875,,5630434,US-Iran,Before
22,2019-02-01,SHEL,SHEL,International,45.8086303103943,46.235374450683594,45.606297049434865,46.235374450683594,,3840111,US-Iran,Before
23,2019-02-04,SHEL,SHEL,International,46.25744174986551,46.66947024270705,46.11028851622821,46.654754638671875,,3097989,US-Iran,Before
24,2019-02-05,SHEL,SHEL,International,46.75041381586663,46.93435469225258,46.691551388199905,46.85342025756836,,2955374,US-Iran,Before
25,2019-02-06,SHEL,SHEL,International,46.544393859167954,47.07157067529864,46.522321854173725,46.97113800048828,,3249614,US-Iran,Before
26,2019-02-07,SHEL,SHEL,International,46.61061256825283,46.71362180697819,46.02568198360069,46.235374450683594,,3046841,US-Iran,Before
27,2019-02-08,SHEL,SHEL,International,46.058786866148814,46.434027764974566,45.80495040640565,46.279518127441406,,2893524,US-Iran,Before
28,2019-02-11,SHEL,SHEL,International,45.84542035842468,46.095580037028085,45.74241112052878,45.96314239501953,,1982075,US-Iran,Before
29,2019-02-12,SHEL,SHEL,International,46.500248776374455,46.680510028669694,46.267232514376744,46.47081756591797,,2396915,US-Iran,Before
30,2019-02-13,SHEL,SHEL,International,46.4560999513388,46.632684399725264,46.29813244082324,46.3898811340332,,3071218,US-Iran,Before
31,2019-02-14,SHEL,SHEL,International,46.352549608429754,46.677448826413666,46.28532858933078,46.382423400878906,,2909083,US-Iran,Before
32,2019-02-15,SHEL,SHEL,International,46.50191078160911,46.85295407459977,46.412283737361925,46.725982666015625,,3340144,US-Iran,Before
33,2019-02-19,SHEL,SHEL,International,46.50938480623324,47.25628354502126,46.49444648955437,47.166656494140625,,1856112,US-Iran,Before
34,2019-02-20,SHEL,SHEL,International,46.99487416500745,47.54758056636596,46.99487416500745,47.2712287902832,,2317166,US-Iran,Before
35,2019-02-21,SHEL,SHEL,International,46.97992891368246,47.14424468863673,46.46456699220148,46.576602935791016,,2833490,US-Iran,Before
36,2019-02-22,SHEL,SHEL,International,47.0098104526401,47.017281036348,46.68117599931436,46.80814743041992,,1667378,US-Iran,Before
37,2019-02-25,SHEL,SHEL,International,46.81562640882213,46.957536183597014,46.561680651882135,46.718528747558594,,1771881,US-Iran,Before
38,2019-02-26,SHEL,SHEL,International,46.785744396439945,47.1218494551601,46.66624069213867,46.66624069213867,,2345455,US-Iran,Before
39,2019-02-27,SHEL,SHEL,International,46.942586288811086,47.01727787490344,46.67370512645663,46.68864059448242,,3261046,US-Iran,Before
40,2019-02-28,SHEL,SHEL,International,46.8305545661709,46.8305545661709,46.41976080270829,46.46457290649414,,2679869,US-Iran,Before
41,2019-03-01,SHEL,SHEL,International,46.47950523060327,46.74838921541673,46.34506323819655,46.54672622680664,,2424535,US-Iran,Before
42,2019-03-04,SHEL,SHEL,International,46.50938800675605,46.65876833463171,46.15087692937013,46.52432632446289,,2292806,US-Iran,Before
43,2019-03-05,SHEL,SHEL,International,46.37495517325117,46.74093690650727,46.36375214505238,46.591556549072266,,1847520,US-Iran,Before
44,2019-03-06,SHEL,SHEL,International,46.65129314974998,46.74839078067089,46.449630154387705,46.5990104675293,,1857363,US-Iran,Before
45,2019-03-07,SHEL,SHEL,International,46.30773522964949,46.38242398550382,45.96416239401012,45.986568450927734,,2558070,US-Iran,Before
46,2019-03-08,SHEL,SHEL,International,45.12762707208519,45.44132607012819,45.03800000801276,45.41144943237305,,5032897,US-Iran,Before
47,2019-03-11,SHEL,SHEL,International,45.493609019550235,45.84465239218107,45.471202965703334,45.73261642456055,,2527390,US-Iran,Before
48,2019-03-12,SHEL,SHEL,International,45.628048855276205,46.046313218604446,45.628048855276205,45.81477355957031,,2872824,US-Iran,Before
49,2019-03-13,SHEL,SHEL,International,46.53180283112222,47.08824173693904,46.46458181336498,47.04716491699219,,3832186,US-Iran,Before
50,2019-03-14,SHEL,SHEL,International,47.136779671536374,47.29766217891812,47.05462035472873,47.09196472167969,,2569023,US-Iran,Before
51,2019-03-15,SHEL,SHEL,International,47.18159887707285,47.42807686461182,47.121848450792285,47.2712287902832,,2893915,US-Iran,Before
52,2019-03-18,SHEL,SHEL,International,47.58491680468602,47.943430697856385,47.54757243849525,47.86873626708984,,2558726,US-Iran,Before
53,2019-03-19,SHEL,SHEL,International,48.22724798847743,48.28700125104583,47.69695060454853,47.7641716003418,,2922227,US-Iran,Before
54,2019-03-20,SHEL,SHEL,International,47.779110434960046,48.35048748081291,47.58118273663898,48.160030364990234,,2543331,US-Iran,Before
55,2019-03-21,SHEL,SHEL,International,48.0629348805651,48.107752681826376,47.76417708101939,47.86127471923828,,1966785,US-Iran,Before
56,2019-03-22,SHEL,SHEL,International,47.53263429930881,47.569978665638736,46.86042715779255,46.96499252319336,,3338121,US-Iran,Before
57,2019-03-25,SHEL,SHEL,International,47.07702401993835,47.203998280169614,46.70357467096421,46.89776992797851,,2329740,US-Iran,Before
58,2019-03-26,SHEL,SHEL,International,47.36832199871767,47.64460253569928,47.15172350538091,47.20400619506836,,2472962,US-Iran,Before
59,2019-03-27,SHEL,SHEL,International,46.96499388889289,47.129309675361235,46.48697914790753,46.74092483520508,,2942947,US-Iran,Before
60,2019-03-28,SHEL,SHEL,International,46.628888034179965,46.841754058683826,46.53926098417638,46.785736083984375,,1842493,US-Iran,Before
61,2019-03-29,SHEL,SHEL,International,47.16665834832431,47.17412608236103,46.6849083009647,46.74839401245117,,2355932,US-Iran,Before
62,2019-04-01,SHEL,SHEL,International,47.368321175898366,47.39446536948085,47.1815964733459,47.26375579833984,,2307460,US-Iran,Before
63,2019-04-02,SHEL,SHEL,International,47.38324893907798,47.517690922903355,47.24133922245884,47.43553161621094,,1947671,US-Iran,Before
64,2019-04-03,SHEL,SHEL,International,47.79405802461304,47.9210323089917,47.51770340239776,47.667083740234375,,2484852,US-Iran,Before
65,2019-04-04,SHEL,SHEL,International,47.65215091460749,47.79406353404801,47.390737430153834,47.77912521362305,,1574711,US-Iran,Before
66,2019-04-05,SHEL,SHEL,International,47.94343860102196,48.270953333703595,47.84633810437307,48.189910888671875,,3073580,US-Iran,Before
67,2019-04-08,SHEL,SHEL,International,48.667945116826125,48.80985206224953,48.52603247301516,48.77251052856445,,3245594,US-Iran,Before
68,2019-04-09,SHEL,SHEL,International,48.5857553450244,48.59322022805506,48.204835470253336,48.22724151611328,,2283091,US-Iran,Before
69,2019-04-10,SHEL,SHEL,International,48.451331373912126,48.77996299927005,48.35423087459533,48.5558967590332,,2505353,US-Iran,Before
70,2019-04-11,SHEL,SHEL,International,48.56335909194044,48.596973869837086,48.3094162266775,48.488670349121094,,2140053,US-Iran,Before
71,2019-04-12,SHEL,SHEL,International,48.638051840965815,48.68286394542119,48.14509589841423,48.17497253417969,,3135104,US-Iran,Before
72,2019-04-15,SHEL,SHEL,International,48.399044600164494,48.42145065246021,48.010654032420064,48.23472595214844,,2450572,US-Iran,Before
73,2019-04-16,SHEL,SHEL,International,48.18244468774267,48.24219226283484,48.01065545108995,48.025596618652344,,1700251,US-Iran,Before
74,2019-04-17,SHEL,SHEL,International,48.3542234521137,48.399041251990326,48.137622130929934,48.2421875,,2633930,US-Iran,Before
75,2019-04-18,SHEL,SHEL,International,48.040527117741064,48.110138591447864,47.82004519725454,47.950897216796875,,1835516,US-Iran,Before
76,2019-04-22,SHEL,SHEL,International,48.219773651988874,48.85464204517822,48.219773651988874,48.727664947509766,,1492297,US-Iran,Before
77,2019-04-23,SHEL,SHEL,International,48.73514464451716,48.839710016236104,48.503607849766,48.54841995239258,,2110651,US-Iran,Before
78,2019-04-24,SHEL,SHEL,International,48.01812068122382,48.01812068122382,47.375787308915314,47.398193359375,,2828984,US-Iran,Before
79,2019-04-25,SHEL,SHEL,International,47.52517077875625,47.75670758004271,47.42060540408587,47.5177001953125,,2044084,US-Iran,Before
80,2019-04-26,SHEL,SHEL,International,47.30110072450392,47.30110072450392,46.782003455322425,47.09943771362305,,2914082,US-Iran,Before
81,2019-04-29,SHEL,SHEL,International,46.85296129522254,47.182792401881784,46.74839591928728,47.1517219543457,,1532782,US-Iran,Before
82,2019-04-30,SHEL,SHEL,International,47.57745569655643,47.66708275773384,47.3309777168274,47.45048141479492,,2673200,US-Iran,Before
83,2019-05-01,SHEL,SHEL,International,47.428073464791176,47.43554119909356,46.83055499885283,46.84549331665039,,2342563,US-Iran,Before
84,2019-05-02,SHEL,SHEL,International,48.07039899351827,48.152558303322245,47.56250766854124,47.57744598388672,,3241198,US-Iran,Before
85,2019-05-03,SHEL,SHEL,International,48.39904360304523,48.443855706713435,47.98339196701192,48.018123626708984,,2345832,US-Iran,Before
86,2019-05-06,SHEL,SHEL,International,47.47288848315628,48.0778775334178,47.421352283901655,47.88368225097656,,2673378,US-Iran,Before
87,2019-05-07,SHEL,SHEL,International,46.74092754644625,46.79321023369968,46.16581513746574,46.47951126098633,,5245477,US-Iran,Before
88,2019-05-08,SHEL,SHEL,International,46.74840088651845,47.15919469956692,46.63629083612393,46.83802795410156,,3587182,US-Iran,Before
89,2019-05-09,SHEL,SHEL,International,46.78574028937947,47.27869338249773,46.718519283536395,47.1517219543457,,2092184,US-Iran,Before
90,2019-05-10,SHEL,SHEL,International,47.024745569191566,47.53263695741984,46.912712463936685,47.46541595458984,,1966369,US-Iran,Before
91,2019-05-13,SHEL,SHEL,International,47.779114134277826,47.94335869264744,47.17920522918544,47.33844375610352,,2330115,US-Iran,Before
92,2019-05-14,SHEL,SHEL,International,47.734301921989335,48.16750174194022,47.68948696853533,47.88368225097656,,1929627,US-Iran,Before
93,2019-05-15,SHEL,SHEL,International,47.83886533078243,48.48866357069725,47.74923543289745,48.443851470947266,,2753675,US-Iran,Before
94,2019-05-16,SHEL,SHEL,International,48.64848653458121,48.92889939938499,48.56511898499483,48.7015380859375,,1996193,US-Iran,Before
95,2019-05-17,SHEL,SHEL,International,48.81521531647875,48.99710550013507,48.62574468869957,48.7091064453125,,2278202,US-Iran,Before
96,2019-05-20,SHEL,SHEL,International,48.84552696319563,49.03499759653958,48.61816567249381,48.83037185668945,,1867374,US-Iran,Before
97,2019-05-21,SHEL,SHEL,International,49.07290109999607,49.201739761491574,48.83211932358481,48.860694885253906,,2916897,US-Iran,Before
98,2019-05-22,SHEL,SHEL,International,48.84552546952028,48.95920900248723,48.28090670001943,48.292274475097656,,2848252,US-Iran,Before
99,2019-05-23,SHEL,SHEL,International,47.59501764450395,47.59501764450395,47.11755088785938,47.33733749389648,,3338232,US-Iran,Before
100,2019-05-24,SHEL,SHEL,International,47.84512604577758,48.01185824032859,47.58744586391604,47.97396469116211,,1894382,US-Iran,Before
101,2019-05-28,SHEL,SHEL,International,47.99669388063056,48.11787688975984,47.39796608950976,47.413124084472656,,1832445,US-Iran,Before
102,2019-05-29,SHEL,SHEL,International,46.867455458116154,47.2842902686163,46.82198146582631,47.26155471801758,,2376756,US-Iran,Before
103,2019-05-30,SHEL,SHEL,International,47.31461510549552,47.38282466113089,47.019041328106574,47.200931549072266,,2633044,US-Iran,Before
104,2019-05-31,SHEL,SHEL,International,46.79924875275572,47.23124158687837,46.7386167593597,46.844722747802734,,2555950,US-Iran,Before
105,2019-06-03,SHEL,SHEL,International,47.26913006634632,47.48133912937482,47.02281767901047,47.276710510253906,,2311319,US-Iran,Before
106,2019-06-04,SHEL,SHEL,International,47.05693097736905,47.36008517527319,46.84472477349177,47.35250473022461,,3404408,US-Iran,Before
107,2019-06-05,SHEL,SHEL,International,47.87543276780932,47.8830132112875,47.17818230460602,47.564701080322266,,3493068,US-Iran,Before
108,2019-06-06,SHEL,SHEL,International,47.84513461801963,48.30744351752138,47.84513461801963,48.216495513916016,,2607814,US-Iran,Before
109,2019-06-07,SHEL,SHEL,International,48.51963980195769,48.99710952376917,48.45143314580471,48.86827087402344,,2327329,US-Iran,Before
110,2019-06-10,SHEL,SHEL,International,48.86827387145316,48.98953208389111,48.671222771282785,48.71669387817383,,1681522,US-Iran,Before
111,2019-06-11,SHEL,SHEL,International,49.26995160100585,49.292687154851066,48.8758493937366,48.89101028442383,,2347961,US-Iran,Before
112,2019-06-12,SHEL,SHEL,International,48.580271637970746,48.65590840180959,48.03459815286886,48.11796569824219,,1995924,US-Iran,Before
113,2019-06-13,SHEL,SHEL,International,48.45143680498917,48.48175280407509,48.12812300623102,48.31501770019531,,1678000,US-Iran,Before
114,2019-06-14,SHEL,SHEL,International,48.095230060139144,48.201333163677766,47.98154940253037,48.07249450683594,,1315112,US-Iran,Before
115,2019-06-17,SHEL,SHEL,International,47.663238567138805,48.0573378852172,47.58745145989376,47.68597412109375,,1930094,US-Iran,Before
116,2019-06-18,SHEL,SHEL,International,48.277119274986106,48.534799459027,48.20276904898806,48.443851470947266,,1872775,US-Iran,Before
117,2019-06-19,SHEL,SHEL,International,48.656065171362904,48.89858739482556,48.5575425057076,48.792484283447266,,1663762,US-Iran,Before
118,2019-06-20,SHEL,SHEL,International,49.64131232928618,49.838363432353326,49.383635010201566,49.65646743774414,,2520288,US-Iran,Before
119,2019-06-21,SHEL,SHEL,International,49.89898410594026,50.042983640131666,49.55415194160629,49.79288101196289,,2329346,US-Iran,Before
120,2019-06-24,SHEL,SHEL,International,49.936889608114605,50.01267672011068,49.78902754753905,49.914154052734375,,1687840,US-Iran,Before
121,2019-06-25,SHEL,SHEL,International,50.020250032050185,50.10361757801175,49.80804383585173,49.83835983276367,,1771362,US-Iran,Before
122,2019-06-26,SHEL,SHEL,International,50.23246161933243,50.384041620160154,50.027835845947266,50.027835845947266,,1986779,US-Iran,Before
123,2019-06-27,SHEL,SHEL,International,49.80805146177438,49.830787017393,49.31163922348093,49.33058166503906,,3421829,US-Iran,Before
124,2019-06-28,SHEL,SHEL,International,49.49730843988626,49.601289474418,49.21689559160448,49.3154182434082,,2172478,US-Iran,Before
125,2019-07-01,SHEL,SHEL,International,50.293090854288096,50.293090854288096,49.406369581399225,49.413944244384766,,2452699,US-Iran,Before
126,2019-07-02,SHEL,SHEL,International,50.02782523141922,50.02782523141922,49.30025872837316,49.34572982788086,,2388127,US-Iran,Before
127,2019-07-03,SHEL,SHEL,International,49.163843591414064,49.209314694569294,48.95921206284545,49.01984405517578,,1443456,US-Iran,Before
128,2019-07-05,SHEL,SHEL,International,48.95162582397461,49.01983825281835,48.74321277105912,48.95162582397461,,1721194,US-Iran,Before
129,2019-07-08,SHEL,SHEL,International,48.84553523732014,49.050166794018416,48.76216768195208,48.82279968261719,,2568148,US-Iran,Before
130,2019-07-09,SHEL,SHEL,International,48.807635665356855,48.94405475086173,48.64468791608323,48.83795166015625,,1350994,US-Iran,Before
131,2019-07-10,SHEL,SHEL,International,49.29268923808747,49.50489545919209,49.19795390493821,49.44426345825195,,1713304,US-Iran,Before
132,2019-07-11,SHEL,SHEL,International,49.694357349860695,49.73225378930254,49.31541608418167,49.55035781860352,,1691198,US-Iran,Before
133,2019-07-12,SHEL,SHEL,International,49.3457348815353,49.4353182763498,49.2017353421007,49.307838439941406,,1032558,US-Iran,Before
134,2019-07-15,SHEL,SHEL,International,49.292687802101746,49.30784291080236,48.845534035926974,48.88343048095703,,1626822,US-Iran,Before
135,2019-07-16,SHEL,SHEL,International,48.58028256690332,48.759293276977246,48.2392376461507,48.36807632446289,,2097617,US-Iran,Before
136,2019-07-17,SHEL,SHEL,International,48.32258326264449,48.3301637060812,47.943642041387236,47.99669647216797,,1833774,US-Iran,Before
137,2019-07-18,SHEL,SHEL,International,47.87543639394799,47.96638437602204,47.5722851269781,47.845123291015625,,1873981,US-Iran,Before
138,2019-07-19,SHEL,SHEL,International,47.936069316254034,48.25437858644,47.89059532433074,48.23922348022461,,2346471,US-Iran,Before
139,2019-07-22,SHEL,SHEL,International,48.2619567924531,48.46658540997956,48.22406324648721,48.42869186401367,,1343707,US-Iran,Before
140,2019-07-23,SHEL,SHEL,International,48.739417980840166,48.75457886769898,48.3225832160773,48.34532165527344,,1911455,US-Iran,Before
